merchant_id,amount,payment_method,user_id_hash,ip_hash,email_domain,is_new_user,device_type,billing_shipping_match,hour_of_day,day_of_week,items_count,is_fraud
merchant_18,115.02,credit_card,4e68080fa36fa9ee,6bcba508d267d708,gmail.com,False,tablet,True,8,1,10,0
merchant_7,44.37,credit_card,79b0aa0042b3c056,f05b93b446493b5b,tempmail.org,True,desktop,True,6,1,7,0
merchant_11,144.25,bank_transfer,d39f33d09bf08025,33fdf8ce1ab44ffb,hotmail.com,False,mobile,True,0,6,3,0
merchant_20,536.22,paypal,6b902cece245553e,df10985aa03a1c7c,hotmail.com,False,desktop,True,2,3,1,0
merchant_20,38.43,bank_transfer,0addd785530bd754,9ee627f956c62be3,hotmail.com,False,desktop,True,12,0,10,0
merchant_8,38.43,credit_card,afa2dc6e90630b97,572288d75bc9f366,gmail.com,False,desktop,True,21,1,7,0
merchant_3,583.37,paypal,c650537eac62a7ea,a57f6ecd57ce43e8,tempmail.org,False,desktop,True,11,2,3,0
merchant_18,172.63,debit_card,eed63b15ad4ce052,dfe2862f3acf0452,yahoo.com,False,desktop,True,14,3,6,0
merchant_7,27.0,credit_card,ece90885916cc1ba,a64536f1fbc6f343,tempmail.org,False,desktop,True,1,6,6,0
merchant_18,123.2,crypto,b023832dc4eee493,7301e6dc5ff34d6c,tempmail.org,True,mobile,True,20,3,5,0
merchant_17,27.25,crypto,a8f5206313287ac5,257ee9d7d1bfdb42,proton.me,False,tablet,True,12,2,2,0
merchant_3,27.15,credit_card,02de9400d3973a7c,0e9e6ad2e8686c95,proton.me,False,desktop,True,20,1,7,0
merchant_4,78.49,crypto,ce46e94dd877a19c,436047309e549188,tempmail.org,True,tablet,True,8,4,5,0
merchant_9,3.1,paypal,1756fecfa202f0eb,1088c09610e63903,tempmail.org,True,desktop,True,9,3,3,0
merchant_5,4.11,credit_card,6ba1c8aa0253c726,96914f03892b0fa2,hotmail.com,False,tablet,True,9,6,3,0
merchant_12,23.49,bank_transfer,86dcb774b7b2e896,1e968ebad79f7d00,hotmail.com,True,desktop,True,19,2,4,0
merchant_18,11.95,bank_transfer,3e70bc0f82cec75b,4734752341d5c8a0,yahoo.com,True,desktop,True,2,5,3,0
merchant_7,87.48,bank_transfer,e9bd6b8ee6bdf8e6,5aeb0451c858a849,tempmail.org,False,desktop,True,8,4,4,0
merchant_4,13.98,crypto,0eef88d7e9202d2e,749c49050a71b0e3,yahoo.com,False,tablet,True,20,2,4,0
merchant_2,6.56,credit_card,313ce0557ee03a5e,63d0c00d0c8cccbc,yahoo.com,True,tablet,True,17,1,2,0
merchant_18,492.0,paypal,51694e6d3e79a736,33744485d4a518d0,yahoo.com,False,desktop,True,16,1,10,0
merchant_12,38.91,debit_card,97f73cb38ad218ab,c6425039ba2e60f9,proton.me,False,mobile,True,13,1,7,0
merchant_11,60.42,credit_card,46c1fafb5e7e8bdd,0d0f5635d0bd45c5,gmail.com,False,tablet,True,20,5,4,0
merchant_3,6.44,bank_transfer,07d1cd3f834be181,e64310bd42d25a7e,proton.me,False,mobile,True,4,3,9,0
merchant_16,24.13,bank_transfer,f020f42719e61f4e,846dd068c8a4fe04,proton.me,False,desktop,True,2,6,4,0
merchant_15,64.48,credit_card,aeea3b4f2ceeecfb,92d1bc2c1505829b,hotmail.com,False,desktop,True,12,0,7,0
merchant_2,9.71,bank_transfer,95ae1e0c0f831c37,f06cbac183835974,tempmail.org,False,tablet,True,22,3,9,0
merchant_17,95.92,paypal,041dde01b7706237,9d534dca51a641df,yahoo.com,False,desktop,True,1,4,1,0
merchant_13,22.18,credit_card,de62fa62b260f071,c3e82947af5ad0bc,gmail.com,False,desktop,True,2,4,10,0
merchant_17,35.25,bank_transfer,b4a820ab3ff66211,ae44bf876b355168,hotmail.com,False,desktop,True,19,0,5,0
merchant_15,22.14,paypal,5575d1b3512d9f52,54e04537a4c1ae3a,hotmail.com,False,desktop,True,8,3,2,0
merchant_3,6864.38,bank_transfer,75995947755fa76d,5fe55d34d811ec59,yahoo.com,False,desktop,False,2,4,6,1
merchant_17,53.5,crypto,be74996ebc29dcb0,59d5da829c3e973c,gmail.com,False,tablet,True,22,2,9,0
merchant_5,11.17,credit_card,90b6d3509ad349cc,a31ef5ca9b4595d7,hotmail.com,False,desktop,True,8,0,5,0
merchant_9,187.51,paypal,ef620c87c4435638,b8df6afb64bd582d,gmail.com,False,desktop,True,21,5,2,0
merchant_9,8.75,paypal,88fbcd1c780ac5dd,72f5b737a18883a9,yahoo.com,False,desktop,True,0,2,8,0
merchant_5,74.69,crypto,2b999724ee3f5708,59efe2b2360b4a98,tempmail.org,False,tablet,True,0,0,1,0
merchant_2,2.89,bank_transfer,18743ed46703c1a9,42532930fb1ef4af,hotmail.com,False,tablet,True,4,3,4,0
merchant_5,7.45,credit_card,2263cb702f133c78,b93f0ac317bcf7ab,yahoo.com,False,mobile,True,17,6,3,0
merchant_14,73.35,debit_card,ee5f7b1f1f73b63e,b6e7850b44c07ece,yahoo.com,False,mobile,True,0,1,5,0
merchant_15,165.29,credit_card,316318127caa71c1,9f9f47f806c8e910,hotmail.com,False,mobile,True,1,6,5,0
merchant_3,70.6,debit_card,1e8fd0b4cdf84dc3,ef2033dbe8e3660e,hotmail.com,False,desktop,True,0,5,6,0
merchant_9,45.9,crypto,573baabb5ca42a23,b00bcd00fd6898ca,yahoo.com,True,tablet,True,17,2,10,0
merchant_11,34.76,paypal,dc7e6e6c7c117049,42a83ce91ae9517a,proton.me,False,desktop,True,3,4,10,0
merchant_1,5.94,credit_card,36f51650554f18b2,8d7a94e9751d3dd3,tempmail.org,False,mobile,True,18,1,9,0
merchant_20,18.55,debit_card,1545c09c7f856993,cfb2258b00cb46a4,hotmail.com,False,mobile,True,13,0,2,0
merchant_10,27.36,paypal,279ac485b57745d2,f11a4d10b10f0041,tempmail.org,False,tablet,True,9,5,3,0
merchant_18,266.58,crypto,639a1e301c1c5620,4315009e8012d72a,gmail.com,False,tablet,True,23,1,5,0
merchant_7,91.42,crypto,c403b3c645114006,d5685500bcbb0353,tempmail.org,False,tablet,True,19,5,8,0
merchant_11,3.88,debit_card,d92c7d4dac2c0610,7766a4692fb1cd74,gmail.com,False,tablet,True,2,2,4,0
merchant_20,88.78,debit_card,b527198b5f787ecc,f7b545a927b947d3,gmail.com,False,desktop,False,4,0,8,0
merchant_5,30.64,bank_transfer,603a5e526b0a5be3,7d77790a02a8bf69,gmail.com,False,desktop,True,22,5,2,0
merchant_4,19.78,debit_card,a5c22cdf6c935241,1d8526a10a8aadfc,proton.me,False,desktop,True,22,4,3,0
merchant_20,136.66,bank_transfer,3564a9feada90794,74ea2bb5846e0f0a,tempmail.org,False,tablet,True,19,2,7,0
merchant_8,256.34,bank_transfer,8129c919a21c4b12,d6b8a5511b8aacfd,hotmail.com,False,mobile,True,5,5,9,0
merchant_11,220.73,debit_card,b58829f7c345be6c,2fda6c4cea38e96c,hotmail.com,False,mobile,True,14,0,9,0
merchant_14,15.51,debit_card,994596a99fd9e8d4,2fd8955cfb647813,proton.me,False,desktop,True,12,5,6,0
merchant_19,34.34,crypto,9c41946e75266ccb,e8902da655122688,gmail.com,False,desktop,True,6,6,10,0
merchant_14,89.74,credit_card,9d8adabf782ba4dd,84eb5bbcf2ca0512,tempmail.org,False,mobile,True,9,6,9,0
merchant_11,235.88,debit_card,f1cd66bdabcc089f,eb74b965706b6822,proton.me,True,mobile,True,7,2,3,0
merchant_1,26.61,debit_card,fb85e367792ba6fc,58e5727f25540acb,gmail.com,False,tablet,True,17,0,7,0
merchant_11,41.33,crypto,f72d9c03e51c6219,354b523e6a0ed3f1,hotmail.com,False,desktop,True,1,2,7,0
merchant_12,10.39,crypto,f6e8dd8673075464,4ac9d68f30badc5d,yahoo.com,False,mobile,False,2,3,2,0
merchant_8,9.08,credit_card,182a7c1dda3de7bd,03f0c1007b9ed46a,yahoo.com,False,desktop,True,7,1,8,0
merchant_20,184.71,bank_transfer,e4b41965477b0dc4,a5e19ec5f2647392,tempmail.org,False,desktop,True,14,5,2,0
merchant_13,417.53,debit_card,3007ed045a2554d5,f5dd5e2bb47c52ff,proton.me,False,mobile,False,3,4,4,0
merchant_4,49.01,debit_card,e4fe064a39c31343,456d7dbcd4b34a7b,tempmail.org,False,desktop,True,22,6,1,0
merchant_14,245.99,crypto,30d363526864b02c,50052c6d5cdd2240,proton.me,False,tablet,True,11,0,2,0
